Disambiguation;Pcorrect;rBias;absBias;RT;Frequency;PhaseDur;Unclear;LowConf;HighConf;block_id;session_id;subject_id
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;5;34
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;34
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;34
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;34
1;95;53,75;3,75;0,924117647058824;12,5;11,689062969286;0;0;100;1;1;35
1;95;48,75;1,25;0,838104704825347;22,5;6,49392387182554;0;0;100;2;1;35
1;82,5;66,25;16,25;0,75527817871464;17,5;7,49298908287562;0;12,5;87,5;3;1;35
1;86,25;47,5;2,5;0,695723711930574;20;6,08254407904021;0;15;85;4;1;35
1;100;60;10;0,735782143667473;12,5;10,9397640609984;0;0;100;5;1;35
0;NaN;50;0;0,78602524821421;7,5;19,2271793465841;0;17,5;82,5;1;2;35
0;NaN;66,25;16,25;0,549579872732182;6,25;16,180795086476;0;70;30;2;2;35
0;NaN;60;10;0,742256274240426;2,5;31,4626571125922;0;3,75;96,25;3;2;35
0;NaN;0;50;NaN;0;120;0;0;100;4;2;35
0;NaN;77,5;27,5;0,763799332331837;2,5;57,6815380397524;0;0;100;5;2;35
0,5;98,75;43,75;6,25;0,759392276029334;16,25;9,10717337340259;0;7,5;92,5;1;3;35
0;66,25;33,75;16,25;0,699369432050326;1,25;40,4635171400545;0;0;100;2;3;35
0,25;72,5;51,25;1,25;0,57086789792698;5;23,9783805274397;0;0;100;3;3;35
1;95;33,75;16,25;0,752608627569728;21,25;6,96430905024904;0;0;100;4;3;35
0,1;28,75;38,75;11,25;1,21140776623003;10;14,424494536038;0;0;100;5;3;35
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;4;35
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;4;35
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;4;35
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;4;35
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;4;35
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;5;35
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;5;35
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;35
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;35
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;35
1;88,75;67,5;17,5;0,667879126716137;11,25;10,8236279540845;0;0;100;1;1;36
1;100;52,5;2,5;0,567558306163758;17,5;8,45670272016931;0;0;100;2;1;36
1;100;41,25;8,75;0,505102637857276;22,5;5,91136603646153;0;0;100;3;1;36
1;95;43,75;6,25;0,529357266325813;17,5;8,24260898041819;0;0;100;4;1;36
1;100;50;0;0,56498358406479;18,75;7,29346006752155;0;0;100;5;1;36
0;NaN;0;50;NaN;0;120;0;0;100;1;2;36
0;NaN;70;20;1,28696288993837;2,5;59,1914781228503;0;0;100;2;2;36
0;NaN;21,25;28,75;0,514197501687704;2,5;50,9496267386559;0;15;85;3;2;36
0;NaN;70;20;1,02839500337541;2,5;53,1974043888908;0;0;100;4;2;36
0;NaN;56,25;6,25;0,825654274138542;2,5;56,9437004726155;0;0;100;5;2;36
0,5;50;20;30;0,746398465901402;2,5;13,4880667656986;0;0;100;1;3;36
0,1;37,5;68,75;18,75;0,703789104658999;5;24,7281224037807;0;28,75;71,25;2;3;36
0,25;71,25;32,5;17,5;0,874520407292352;6,25;15,8859453018228;0;0;100;3;3;36
1;91,25;53,75;3,75;0,735335589148811;21,25;6,69995473328818;0;8,75;91,25;4;3;36
0;57,5;72,5;22,5;0,808108575286951;5;29,2241446590136;0;16,25;83,75;5;3;36
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;4;36
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;4;36
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;4;36
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;4;36
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;4;36
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;5;36
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;5;36
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;36
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;36
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;36
1;100;51,25;1,25;0,633377237297964;16,25;9,10734078898465;0;0;100;1;1;37
1;98,75;48,75;1,25;0,546576074156487;11,25;10,157695141582;0;0;100;2;1;37
1;100;58,75;8,75;0,544896884988572;8,75;12,8457971345534;0;0;100;3;1;37
1;100;60;10;0,603388641004294;18,75;7,69320517280475;0;0;100;4;1;37
1;98,75;62,5;12,5;0,579488181847631;12,5;11,2400724927342;0;0;100;5;1;37
0;NaN;0;50;NaN;0;120;0;0;100;1;2;37
0;NaN;63,75;13,75;0,276195643953743;1,25;43,4567401497431;0;0;100;2;2;37
0;NaN;96,25;46,25;0,71546424790145;5;16,1089640210255;0;47,5;52,5;3;2;37
0;NaN;23,75;26,25;0,828586931861228;3,75;33,9661877032475;0;0;100;4;2;37
0;NaN;12,5;37,5;0,747412085003507;5;24,3507595666664;0;0;100;5;2;37
0,1;53,75;10;40;0,663866985015957;6,25;23,3796516243505;0;0;100;1;3;37
0,5;87,5;51,25;1,25;0,604935681797907;17,5;7,49347808472771;0;0;100;2;3;37
0;55;55;5;0,67737520739281;8,75;13,9164593002086;0;0;100;3;3;37
0,25;63,75;58,75;8,75;0,748613153758582;10;12,1769018876825;0;0;100;4;3;37
1;80;37,5;12,5;0,62063630254686;12,5;11,5399562504807;0;0;100;5;3;37
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;4;37
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;4;37
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;4;37
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;4;37
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;4;37
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;5;37
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;5;37
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;37
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;37
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;37
1;98,75;27,5;22,5;0,762928559034131;12,5;10,6416190765123;0;0;100;1;1;38
1;88,75;77,5;27,5;0,721357021078637;13,75;7,08532896259461;0;12,5;87,5;2;1;38
1;100;58,75;8,75;0,66859109083307;15;9,49252405886073;0;0;100;3;1;38
1;100;60;10;0,625977592736017;15;7,7439012059127;0;0;100;4;1;38
1;100;38,75;11,25;0,699816498921427;20;7,11939304414554;0;0;100;5;1;38
0;NaN;41,25;8,75;0,728697107986081;21,25;5,09585546905641;0;51,25;48,75;1;2;38
